longitude,latitude,price_1983,price_1984,price_1985,price_1986,price_1987,price_1988,price_1989,price_1990,price_1991,price_1992,price_1993,price_1994,price_1995,price_1996,price_1997,price_1998,price_1999,price_2000,price_2001,price_2002,price_2003,price_2004,price_2005,price_2006,price_2007,price_2008,price_2009,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,price_2020,price_2021,price_2022,price_2023,address,usage,description
140.4510861110001,36.38873694400007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60700,58200,55200,52700,50900,50000,49500,49300,49200,49100,49000,48900,48800,48800,茨城県　水戸市上水戸１丁目３２５２番３,住宅,一般住宅、アパート、医院等が混在する住宅地域
140.35300805600002,36.36672305600007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31900,31500,31200,31000,30900,30800,30800,30800,30800,30800,30800,茨城県　水戸市内原町字門１１０５番５,住宅,中規模一般住宅が多い既成の住宅地域
140.41435888900003,36.37466805600008,51500,54100,56400,58500,60400,63800,70200,79000,88300,92500,92500,91700,91400,90800,90300,89900,88700,87600,86700,85700,79100,72800,68200,64000,62000,60200,58200,54100,50700,47400,45200,43400,42600,42200,42200,42200,42200,42200,42200,42200,42200,茨城県　水戸市河和田１丁目１５８６番６１,住宅,中規模一般住宅が多い区画整然とした住宅地域
140.42301111100005,36.38362694400007,63000,66000,68800,71300,73200,77000,84000,94600,106000,111000,111000,110000,108000,106000,104000,102000,100000,97000,95500,93000,84500,77700,72000,67800,63000,58500,54600,50600,47400,44000,41700,40800,40200,40000,40000,40000,40000,40000,40000,40000,40000,茨城県　水戸市東赤塚２１８３番５,空地,中規模一般住宅の多い閑静な既成住宅地域
140.4193,36.39161805600003,50100,52600,54700,56700,58300,61300,67200,75900,85000,89100,89400,88800,88600,88100,87800,87600,86500,85400,84200,82900,76200,69800,63600,58300,55400,53000,50800,48500,45400,42300,40200,39100,38300,37500,37100,36800,36500,36400,36300,36300,36300,茨城県　水戸市堀町字野田原２２５３番５０,住宅,一般住宅が建ち並ぶ区画整然とした住宅地域
140.4585088890001,36.36584888900006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65800,62700,59300,56700,55900,55200,54700,54400,54200,54100,54000,53800,53700,53600,茨城県　水戸市千波町字久保３３０番４,住宅,住宅、アパートのほか空地も見られる住宅地域
140.4911888890001,36.35956111100006,57000,59800,62300,64600,66500,69500,76000,85600,94600,99300,99500,98800,98800,98700,98600,98400,98200,97700,95900,92500,86700,78300,72900,69000,65300,62300,58400,54300,50800,47400,44500,42800,41900,41300,40900,40700,40600,40500,40400,40300,40200,茨城県　水戸市元吉田町字境町２８４５番３,住宅,一般住宅、アパート等が混在する既成住宅地域
140.42918611100004,36.38162888900007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94200,93200,90500,82600,75300,69700,65900,62100,58800,55000,51700,48600,44900,42600,41400,40800,40500,40500,40500,40500,40500,40500,40500,40500,茨城県　水戸市姫子１丁目３２６番４,住宅,一般住宅、共同住宅のほか空地も残る住宅地域
140.42931805600006,36.375245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57000,54400,52000,50200,49300,48900,48700,48600,48500,48400,48300,48300,茨城県　水戸市見和２丁目１９４番６１,住宅,中規模一般住宅が多い区画整然とした住宅地域
140.3976738890001,36.39338694400004,0,0,0,0,0,0,0,0,138000,144000,143000,142000,141000,138000,135000,132000,129000,118000,109000,101000,92000,83100,75900,70500,66100,63100,60100,55300,51600,47100,43200,40500,39000,37600,36600,35900,35500,35200,35000,34900,34900,茨城県　水戸市双葉台４丁目２番７,住宅,一般住宅が建ち並ぶ区画整然とした分譲住宅地域
